neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K,titan_bdb_untyped,titan_bdb_typed_p_10K
690666726,551142,657294,960334,838609915,1537636,826476,848141,874641774,5839632,6165257,5288814
736124929,800565,651692,703015,809503244,602646,850327,836135,843056425,1130609,386873,311172
764822606,520739,622479,573977,747620400,1369391,1020292,933478,813713291,655921,509162,533657
757871730,414104,437598,487039,745337646,860638,613808,702453,853720645,1052454,714139,679986
690932037,501551,434884,469734,778379227,1055630,761883,832086,838478692,535688,340608,329708
730399022,548875,483659,515436,806770315,600266,440007,523259,819877982,481142,326520,341398
838025731,700466,726005,683737,835865252,566005,467445,531607,832589078,1449152,559817,509705
777759615,1529660,985395,1001883,816870352,616595,601395,709258,779262914,583476,311803,299375
717611973,735136,511809,564335,889490633,972791,1183087,889858,794384744,969661,474573,470640
898299517,2839979,2404216,2574786,785287592,1218585,717767,789366,776258880,540749,318320,306405
740891309,1870853,553795,612446,819362726,656439,436974,507752,793142553,1023786,410605,384397
753489868,1185363,463973,457085,754900143,631906,453289,500031,799371793,1348357,577780,536135
734341687,888431,479778,487120,762559752,1612706,936658,1303403,814083189,755201,520867,779709
710998641,1065307,485258,506688,808072467,546945,500376,579862,826735117,986830,636370,660463
737649086,1038760,418199,465817,884027331,526094,450775,518960,850320430,774259,407845,396322
783510930,1116625,567293,474260,808832881,708792,450507,498539,838641630,367847,312783,295876
715046577,790113,484421,473798,867323161,908775,449311,508926,856420480,746031,559054,510118
688533638,1195538,548190,560168,861739648,517776,436141,493889,844357434,733441,473820,452798
728851961,4648298,423895,434597,808294405,633712,511094,515226,811134220,334988,313874,291237
754922974,862315,554553,610044,768739667,773422,591822,630561,858928036,350898,470947,303067
769291955,1123796,581560,636857,757421519,1607712,885341,964473,860702470,1387004,861736,799569
