neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_gremlinp_1K,titan_bdb_untypedp_1K,titan_bdb_typed_p_1K
6537376114,339474690,804417718,754867116,89919151,232551723,243850201
756088536,26376175,71153058,64253878,89688644,212381553,230950482
2107608083,22407306,55799510,55299510,149053859,366329595,387631072
1493494308,62464506,172346762,162525795,20643404,58522548,66706218
4503116468,40144251,101677795,95797274,252592762,582774746,619822741
795525495,30172384,83431107,80854428,102034034,247223573,265415272
15267163277,106951166,260416614,264393032,1125067149,2586143575,2752535790
458338037,213959104,514929232,482904983,64079944,153402199,165621837
4640520530,40230735,109153484,113529404,43693546,107461813,107340823
172411308,12673624,20812527,20616474,8464574,23396631,27577551
326498521,177638943,420429084,408618660,259121933,567238287,602799137
364301528,49086910,117269926,112691799,135796359,441373341,449149295
4329546510,70852700,172354870,163420711,262418453,607338505,650869319
2016103350,63572417,167963822,153682656,145101741,332985821,365697650
590071351,105369905,279493940,251218853,201947772,499626143,507767177
3091741442,37171099,93240936,81867185,190219523,417475891,451665590
794184524,317903392,757382029,718128512,230481980,519709575,582387224
171236941,125308195,316423682,299296119,6866541,18567139,14980082
5355767853,6219535,8285089,8128926,61825282,146451855,166290568
1606829314,9060134,18359751,17473621,144150436,357129611,375627088
5925824188,27219042,68421189,69657920,72690221,165276655,185056383
1175254420,12517445,27863560,30421975,11619157,34066105,28993041
5127694140,244310676,633430473,623944856,174190847,412691409,466752976
2784963443,11964586,28353802,26724484,711289980,1620061140,1752751247
946402557,211823909,525920352,491565738,121729680,312991988,327245359
4252629986,575905978,1520317568,1322368983,5548036,11691150,19447314
4578814371,48672540,126259128,103441213,44341974,104475034,107777596
1188948029,265661537,940676102,629379299,576351951,1384757141,1513722122
2132509702,19471957,55384629,47495377,13949914,36690658,37987953
755414192,435440312,1124400610,1021373521,700592269,1790870730,1951075113
1674103982,47186478,125758505,113643012,142751099,307219020,348147589
1310086358,401212334,1001675670,926965471,285427830940,777276139091,773926811998
436199159,136421809,372566800,306536189,71267482,156505833,157095199
2972233789,114392631,336408551,263978227,756424593,1726530301,1751622704
373046923,24633016,88363073,63169419,649788534,1478664014,1543958777
871041343,44955441,108073549,102089424,135906705,314341088,332731708
429881691,34197074,107628977,89728235,1166339419,2204158661,2334830525
2517948027,16286019,35501913,36612470,838215784,1649186266,1663820974
303872360,42131422,131001318,107442498,190214482,392396995,413398835
5586126403,34641424,96321888,81388538,199121920,390994914,416820136
2023324984,83342911,211320307,196973888,133824380,231411851,228949083
3279877621,75037186,195089608,174871248,461627613,791739656,823086112
4720850832,165209236,445858177,393219303,105337918,218602649,218148990
5018364173,13964803,38806613,34596715,548894962,961357131,1025953915
4010795278,27778259,72100681,64879677,46520833,89496732,104413367
864690393,14987413,39880560,31170651,581072534,1333007746,1364232653
140151900,115064579,249517282,212113994,79701698,184803061,188095994
11730967955,128607665,359384725,320532049,419709412,999479226,1004093768
1845008599,84716993,223847671,197963358,191106665,402380012,434781146
449073296,31748761,80871176,72069039,695391691,1629290653,1751752172
1236904616,19630896,62288501,48116460,1149890210,2904389070,2885818146
1266359717,33764895,82199362,65320476,16250994,45117142,47094630
3977189418,59553290,183091296,149360889,155808615,380414475,367662145
1298296606,176190936,490257727,411578726,350839661,848363215,888834365
895222250,23209598,71486340,50209277,23791279,62925278,67062393
733437109,164603149,406038221,349299746,663724770,1613739691,1721535777
5334814742,157752500,417222854,344359693,30276820,65769109,68285407
