neo4j_cypher,titan_bdb_untyped,titan_bdb_typed
1028836,739335,733733
788256,584752,479378
785316,662957,386401
452512,166576,106153
710039,584309,457629
688725,298794,215931
3863672,1067398,767967
24623174,360849,254160
967757,684509,446275
660350,471995,427565
136341,21090,28069
19949147,366101,370471
396163,57397,53929
1938723,530524,491471
916168,131260,125070
1137185,374609,310375
693381,170659,157817
1371833,296075,281174
1136213,318510,342585
1707645,311929,295339
2122604,417869,409951
610609,120251,125317
604739,91962,89142
2753051,645895,585158
837179,140723,169281
831979,633143,425719
778359,562032,349576
3221128,1286434,901591
521581,98600,121228
269004,123851,116029
638433,370816,431977
894183,450263,427064
658909,331370,335710
442757,141812,159380
530856,173272,180905
606575,334137,359315
750059,364889,343719
706286,203803,192129
390309,174724,179249
223754,70964,67317
519509,142922,134699
390745,134745,628344
1005986,409523,1757531
969067,493841,693680
1009724,456303,453593
662127,335374,326020
487169,140094,133193
264999,122522,111662
890893,416698,429986
723700,369318,461510
20892680,72948,102909
637392,176829,192946
918849,360475,373406
875759,341347,340877
18510421,411345,406388
20474964,341476,346079
2936546,781203,764555
901113,343701,382298
491175,202328,208761
1292824,468516,544706
950714,724567,409447
2152936,862367,638132
17029380,125375,138670
1143875,353782,423503
525408,126687,131240
20507242,500597,510480
1477206,604887,571747
274607,75285,69683
3731783,842854,778038
434773,120700,110781
704093,344225,324142
645126,238893,205018
2021687,617009,556348
2506149,1042188,567464
384276,278324,127683
553840,297826,199267
311395,123670,99459
20628393,987258,515820
959959,977736,432093
17755170,177244,127743
674606,92101,85944
325722,18671,17212
722675,156320,143729
1451113,527319,394486
1297906,413120,515397
988987,404754,473991
1576914,543268,531226
3125411,313990,309418
1272680,382357,379281
466962,95741,90438
1375801,531036,532220
808371,390667,381754
17758220,428485,350516
618565,222873,204282
1100964,521523,471181
613770,376969,217540
1005647,761971,485312
1243825,514625,485552
968691,471189,408144
633306,309557,306750
1008539,414914,389628
736950,327917,343766
290519,127892,113222
894596,403006,382528
518334,168352,146497
937085,407810,417383
